Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,proper()
 frank ,nan,50000,Male,Marketing,Clerk,"April 5, 2018",D,nan,098-765-4321, Frank 
 frank ,35,50000,Male,IT,Director,"April 5, 2018",A,email@example.com, , Frank 
 jack ,35,50000,Other,Finance,Clerk,"April 5, 2018",D,user@domain.com, , Jack 
 david ,50,50000,Female,Sales,Analyst,"April 5, 2018",F,user@domain.com,nan, David 
 frank ,25,SIXTY THOUSAND,Male,Finance,Clerk,03-25-2019,D,,098-765-4321, Frank 
 bob ,nan,65000,Other,HR,Director,01/15/2020,D,nan, , Bob 
 jack ,50, NAN ,Other,Sales,Director,03-25-2019,B,name@company.org,098-765-4321, Jack 
 bob ,40,55000,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,555-555-5555, Bob 
 jack ,25,SIXTY THOUSAND,Female,Marketing,Assistant,03-25-2019,D,nan,555-555-5555, Jack 
 david ,25,SIXTY THOUSAND,Other,Sales,Manager,"April 5, 2018",D,email@example.com,555-555-5555, David 
 hannah ,40, NAN ,Male,Sales,Director,2019.12.01,F,, , Hannah 
 grace ,35, NAN ,Other,IT,Analyst,01/15/2020,F,email@example.com,555-555-5555, Grace 
 ivy ,50,55000,Female,Marketing,Analyst,2019.12.01,A,user@domain.com,nan, Ivy 
 hannah ,thirty,55000,Male,HR,Manager,20-02-2020,B,user@domain.com,nan, Hannah 
 eve ,nan, NAN ,Male,Finance,Director,03-25-2019,F,email@example.com, , Eve 
 bob ,thirty,50000,Other,IT,Analyst,20-02-2020,F,user@domain.com,098-765-4321, Bob 
 eve ,40,SIXTY THOUSAND,Female,Finance,Director,03-25-2019,C,nan,123-456-7890, Eve 
 hannah ,25,70000,Other,HR,Analyst,2019.12.01,F,user@domain.com,098-765-4321, Hannah 
 jack ,25,55000,Other,HR,Director,"April 5, 2018",B,,098-765-4321, Jack 
 ivy ,nan,55000,Other,Sales,Clerk,"April 5, 2018",D,nan,098-765-4321, Ivy 
 ivy ,25, NAN ,Male,HR,Director,03-25-2019,D,name@company.org,098-765-4321, Ivy 
 alice ,25,65000,Male,Finance,Director,"April 5, 2018",D,user@domain.com,123-456-7890, Alice 
 ivy ,nan,70000,Female,Marketing,Manager,2019.12.01,D,user@domain.com,555-555-5555, Ivy 
 grace ,50,70000,Female,Marketing,Clerk,"April 5, 2018",C,,098-765-4321, Grace 
 ivy ,50,55000,Other,Sales,Assistant,2019.12.01,F,,nan, Ivy 
 hannah ,nan,50000,Other,Finance,Manager,20-02-2020,D,email@example.com, , Hannah 
 alice ,40,65000,Other,Finance,Assistant,2019.12.01,A,email@example.com, , Alice 
 hannah ,25,70000,Female,HR,Analyst,01/15/2020,D,email@example.com,nan, Hannah 
 hannah ,25,55000,Male,Finance,Assistant,01/15/2020,F,,098-765-4321, Hannah 
 charlie ,40,70000,Male,IT,Director,01/15/2020,D,email@example.com,123-456-7890, Charlie 
 alice ,50,65000,Other,HR,Assistant,03-25-2019,C,email@example.com,555-555-5555, Alice 
 hannah ,35,65000,Other,IT,Manager,03-25-2019,B,name@company.org, , Hannah 
 charlie ,35,SIXTY THOUSAND,Other,Sales,Manager,03-25-2019,B,email@example.com,555-555-5555, Charlie 
 charlie ,35, NAN ,Other,Marketing,Assistant,2019.12.01,F,user@domain.com,123-456-7890, Charlie 
 alice ,50, NAN ,Female,Sales,Manager,03-25-2019,B,, , Alice 
 eve ,50,55000,Male,Marketing,Manager,20-02-2020,B,nan,555-555-5555, Eve 
 jack ,40,65000,Other,Sales,Assistant,01/15/2020,A,name@company.org,123-456-7890, Jack 
 grace ,25,SIXTY THOUSAND,Female,Finance,Clerk,2019.12.01,F,,555-555-5555, Grace 
 jack ,40,SIXTY THOUSAND,Other,IT,Clerk,01/15/2020,F,,098-765-4321, Jack 
 ivy ,40,70000,Other,Marketing,Analyst,03-25-2019,B,user@domain.com,123-456-7890, Ivy 
 grace ,50,70000,Male,HR,Manager,2019.12.01,B,email@example.com,555-555-5555, Grace 
 ivy ,35,SIXTY THOUSAND,Other,IT,Assistant,"April 5, 2018",B,user@domain.com,098-765-4321, Ivy 
 hannah ,thirty,70000,Male,HR,Manager,20-02-2020,C,email@example.com,098-765-4321, Hannah 
 bob ,25,65000,Male,IT,Director,03-25-2019,D,email@example.com,123-456-7890, Bob 
 alice ,50,50000,Male,IT,Manager,03-25-2019,C,,nan, Alice 
 grace ,35,65000,Female,Sales,Manager,20-02-2020,F,email@example.com, , Grace 
 grace ,thirty,SIXTY THOUSAND,Female,Marketing,Clerk,20-02-2020,A,name@company.org,123-456-7890, Grace 
 hannah ,thirty,SIXTY THOUSAND,Male,Marketing,Assistant,"April 5, 2018",D,name@company.org,098-765-4321, Hannah 
 eve ,50,65000,Other,IT,Manager,03-25-2019,A,name@company.org,098-765-4321, Eve 
 charlie ,nan,70000,Male,Finance,Clerk,03-25-2019,F,,123-456-7890, Charlie 
 hannah ,25,70000,Other,Finance,Analyst,01/15/2020,F,user@domain.com,nan, Hannah 
 frank ,thirty, NAN ,Male,HR,Clerk,2019.12.01,A,nan, , Frank 
 charlie ,50,SIXTY THOUSAND,Other,HR,Clerk,2019.12.01,A,email@example.com,555-555-5555, Charlie 
 alice ,50,55000,Female,Sales,Clerk,01/15/2020,A,nan,123-456-7890, Alice 
 charlie ,35, NAN ,Other,IT,Manager,2019.12.01,F,user@domain.com, , Charlie 
 eve ,nan,70000,Male,HR,Manager,20-02-2020,B,user@domain.com, , Eve 
 charlie ,25,65000,Female,HR,Analyst,2019.12.01,A,,098-765-4321, Charlie 
 alice ,40,70000,Other,IT,Director,2019.12.01,D,name@company.org,555-555-5555, Alice 
 eve ,35,65000,Other,Sales,Director,01/15/2020,F,name@company.org,123-456-7890, Eve 
 jack ,thirty, NAN ,Other,HR,Director,"April 5, 2018",C,user@domain.com,098-765-4321, Jack 
 grace ,thirty,SIXTY THOUSAND,Other,Sales,Analyst,2019.12.01,C,,098-765-4321, Grace 
 grace ,35,70000,Other,Marketing,Director,2019.12.01,D,,nan, Grace 
 ivy ,50,65000,Female,Sales,Director,"April 5, 2018",B,email@example.com, , Ivy 
 jack ,thirty,SIXTY THOUSAND,Female,Finance,Clerk,01/15/2020,A,name@company.org,123-456-7890, Jack 
 jack ,nan,55000,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,123-456-7890, Jack 
 charlie ,25,65000,Female,Sales,Manager,01/15/2020,A,nan,123-456-7890, Charlie 
 grace ,nan, NAN ,Male,Finance,Clerk,20-02-2020,F,name@company.org,098-765-4321, Grace 
 alice ,thirty,55000,Female,Marketing,Clerk,01/15/2020,C,email@example.com,nan, Alice 
 david ,40,55000,Other,IT,Clerk,20-02-2020,A,,555-555-5555, David 
 david ,25,50000,Other,Finance,Manager,20-02-2020,D,user@domain.com,098-765-4321, David 
 eve ,25,70000,Female,Finance,Director,01/15/2020,B,name@company.org,555-555-5555, Eve 
 grace ,35,65000,Other,Sales,Clerk,03-25-2019,D,nan,nan, Grace 
 grace ,35,55000,Female,Marketing,Analyst,01/15/2020,B,email@example.com, , Grace 
 david ,40,50000,Other,IT,Clerk,2019.12.01,A,email@example.com,123-456-7890, David 
 grace ,50, NAN ,Male,Sales,Assistant,2019.12.01,A,name@company.org,555-555-5555, Grace 
 charlie ,25,SIXTY THOUSAND,Male,Sales,Clerk,03-25-2019,B,nan,098-765-4321, Charlie 
 frank ,40,65000,Female,Marketing,Manager,20-02-2020,C,email@example.com,555-555-5555, Frank 
 bob ,35,55000,Female,IT,Clerk,03-25-2019,F,user@domain.com, , Bob 
 jack ,35,70000,Female,Marketing,Assistant,2019.12.01,D,email@example.com,123-456-7890, Jack 
 ivy ,25,50000,Other,IT,Analyst,03-25-2019,D,nan,555-555-5555, Ivy 
 eve ,nan,55000,Female,Marketing,Director,01/15/2020,D,, , Eve 
 frank ,thirty,70000,Male,Sales,Clerk,03-25-2019,A,,098-765-4321, Frank 
 david ,35,55000,Other,Sales,Assistant,20-02-2020,D,name@company.org,nan, David 
 jack ,50,65000,Female,HR,Assistant,01/15/2020,F,nan,098-765-4321, Jack 
 grace ,50,65000,Other,Finance,Analyst,"April 5, 2018",F,email@example.com,123-456-7890, Grace 
 ivy ,35,65000,Other,Marketing,Manager,2019.12.01,B,email@example.com,098-765-4321, Ivy 
 grace ,nan, NAN ,Female,HR,Clerk,2019.12.01,A,,098-765-4321, Grace 
 alice ,nan, NAN ,Other,Finance,Assistant,03-25-2019,F,,098-765-4321, Alice 
 alice ,40,50000,Male,Marketing,Analyst,01/15/2020,C,user@domain.com,098-765-4321, Alice 
 ivy ,50,65000,Male,IT,Director,"April 5, 2018",A,,123-456-7890, Ivy 
 ivy ,40,70000,Other,Finance,Assistant,01/15/2020,A,user@domain.com, , Ivy 
 david ,50,55000,Female,Sales,Analyst,2019.12.01,F,email@example.com,555-555-5555, David 
 ivy ,thirty,SIXTY THOUSAND,Other,HR,Manager,01/15/2020,C,user@domain.com,nan, Ivy 
 charlie ,thirty,70000,Male,Finance,Manager,"April 5, 2018",B,user@domain.com,555-555-5555, Charlie 
 grace ,25, NAN ,Other,Finance,Assistant,03-25-2019,F,name@company.org,555-555-5555, Grace 
 frank ,40, NAN ,Other,Sales,Assistant,20-02-2020,C,,nan, Frank 
 hannah ,35,70000,Male,Marketing,Clerk,01/15/2020,A,user@domain.com,123-456-7890, Hannah 
 ivy ,40, NAN ,Other,IT,Analyst,20-02-2020,C,email@example.com,nan, Ivy 
 eve ,35,65000,Other,Sales,Assistant,2019.12.01,A,nan,123-456-7890, Eve 
 alice ,nan,50000,Female,IT,Clerk,03-25-2019,F,user@domain.com,555-555-5555, Alice 
 charlie ,40,55000,Female,Marketing,Clerk,03-25-2019,F,,123-456-7890, Charlie 
 jack ,nan,50000,Male,Finance,Assistant,01/15/2020,D,name@company.org, , Jack 
 hannah ,thirty,55000,Male,IT,Manager,03-25-2019,D,email@example.com,nan, Hannah 
 frank ,thirty,55000,Male,HR,Analyst,01/15/2020,D,name@company.org, , Frank 
 hannah ,25,50000,Female,HR,Analyst,01/15/2020,F,nan,555-555-5555, Hannah 
 ivy ,40,70000,Male,Sales,Manager,20-02-2020,B,user@domain.com,nan, Ivy 
 david ,nan,55000,Male,Marketing,Assistant,03-25-2019,F,user@domain.com,555-555-5555, David 
 alice ,35,50000,Male,Sales,Analyst,01/15/2020,C,, , Alice 
 alice ,thirty,55000,Female,Sales,Assistant,20-02-2020,F,user@domain.com,555-555-5555, Alice 
 jack ,thirty,SIXTY THOUSAND,Other,Sales,Assistant,"April 5, 2018",F,email@example.com,nan, Jack 
 david ,35,70000,Male,HR,Clerk,20-02-2020,A,nan,nan, David 
 grace ,nan,65000,Other,HR,Manager,20-02-2020,A,name@company.org,555-555-5555, Grace 
 bob ,nan,55000,Male,Sales,Assistant,01/15/2020,A,nan,nan, Bob 
 charlie ,40,SIXTY THOUSAND,Other,HR,Director,2019.12.01,F,user@domain.com,nan, Charlie 
 alice ,40,65000,Female,Marketing,Manager,2019.12.01,B,name@company.org,555-555-5555, Alice 
 eve ,50,65000,Female,Sales,Analyst,2019.12.01,C,, , Eve 
 alice ,50,55000,Male,HR,Clerk,20-02-2020,C,nan,nan, Alice 
 hannah ,25,50000,Other,IT,Analyst,01/15/2020,B,name@company.org,nan, Hannah 
 alice ,thirty,55000,Female,Sales,Analyst,03-25-2019,B,name@company.org,nan, Alice 
 alice ,40,SIXTY THOUSAND,Male,Sales,Manager,20-02-2020,C,name@company.org,nan, Alice 
 bob ,nan,65000,Male,Marketing,Analyst,20-02-2020,D,email@example.com,555-555-5555, Bob 
 bob ,35,55000,Female,Finance,Assistant,01/15/2020,A,nan, , Bob 
 frank ,nan,50000,Female,Finance,Analyst,"April 5, 2018",A,name@company.org, , Frank 
 grace ,thirty,55000,Male,Marketing,Clerk,20-02-2020,C,nan,123-456-7890, Grace 
 eve ,50,70000,Other,Marketing,Clerk,"April 5, 2018",B,name@company.org,nan, Eve 
 alice ,nan,50000,Other,Marketing,Director,"April 5, 2018",D,,nan, Alice 
 alice ,25,SIXTY THOUSAND,Other,Finance,Clerk,2019.12.01,C,,123-456-7890, Alice 
 charlie ,thirty,65000,Male,Marketing,Analyst,01/15/2020,A,, , Charlie 
 bob ,50,55000,Female,HR,Clerk,"April 5, 2018",F,user@domain.com,098-765-4321, Bob 
 eve ,35,50000,Male,Sales,Manager,01/15/2020,B,name@company.org,098-765-4321, Eve 
 jack ,50,70000,Female,Sales,Clerk,2019.12.01,F,user@domain.com, , Jack 
 frank ,25,50000,Other,IT,Assistant,01/15/2020,C,nan,nan, Frank 
 grace ,thirty, NAN ,Other,IT,Manager,20-02-2020,A,user@domain.com,098-765-4321, Grace 
 david ,35,70000,Female,Sales,Director,"April 5, 2018",D,nan,555-555-5555, David 
 grace ,25,SIXTY THOUSAND,Female,HR,Assistant,01/15/2020,F,nan,555-555-5555, Grace 
 hannah ,50,65000,Male,Finance,Analyst,03-25-2019,D,nan,123-456-7890, Hannah 
 alice ,25,SIXTY THOUSAND,Other,Finance,Analyst,01/15/2020,A,user@domain.com, , Alice 
 frank ,thirty,55000,Male,HR,Analyst,"April 5, 2018",F,name@company.org, , Frank 
 hannah ,40,50000,Male,Finance,Assistant,2019.12.01,D,user@domain.com,098-765-4321, Hannah 
 eve ,25, NAN ,Male,Marketing,Assistant,2019.12.01,D,name@company.org,nan, Eve 
 david ,25,70000,Other,Sales,Assistant,"April 5, 2018",F,name@company.org, , David 
 bob ,50,70000,Male,Sales,Manager,20-02-2020,A,nan,098-765-4321, Bob 
 frank ,50,50000,Male,HR,Manager,20-02-2020,D,user@domain.com,098-765-4321, Frank 
 frank ,35, NAN ,Male,Finance,Analyst,2019.12.01,C,name@company.org, , Frank 
 alice ,50,50000,Male,IT,Clerk,2019.12.01,F,,098-765-4321, Alice 
 ivy ,nan,55000,Male,IT,Analyst,"April 5, 2018",B,name@company.org,123-456-7890, Ivy 
 frank ,thirty,SIXTY THOUSAND,Male,Finance,Director,20-02-2020,B,,123-456-7890, Frank 
 charlie ,thirty,70000,Other,IT,Manager,2019.12.01,A,user@domain.com, , Charlie 
 david ,40,55000,Male,HR,Assistant,20-02-2020,C,user@domain.com,nan, David 
 david ,40,SIXTY THOUSAND,Female,HR,Manager,2019.12.01,D,user@domain.com,123-456-7890, David 
 charlie ,thirty,55000,Male,Finance,Assistant,01/15/2020,B,name@company.org,123-456-7890, Charlie 
 jack ,40, NAN ,Male,IT,Director,03-25-2019,A,email@example.com, , Jack 
 charlie ,35,70000,Other,HR,Director,01/15/2020,C,name@company.org,555-555-5555, Charlie 
 charlie ,50,50000,Other,HR,Manager,2019.12.01,C,name@company.org,098-765-4321, Charlie 
 david ,thirty,50000,Female,Marketing,Assistant,03-25-2019,A,nan,123-456-7890, David 
 grace ,40,SIXTY THOUSAND,Female,Marketing,Director,03-25-2019,A,nan,555-555-5555, Grace 
 david ,thirty,65000,Other,HR,Analyst,2019.12.01,D,name@company.org,nan, David 
 ivy ,nan, NAN ,Other,Finance,Analyst,2019.12.01,A,,555-555-5555, Ivy 
 alice ,25,SIXTY THOUSAND,Male,Sales,Assistant,20-02-2020,D,nan, , Alice 
 hannah ,50,65000,Other,Sales,Manager,2019.12.01,D,name@company.org,nan, Hannah 
 grace ,thirty,55000,Female,HR,Director,"April 5, 2018",F,email@example.com,nan, Grace 
 bob ,25, NAN ,Male,HR,Manager,2019.12.01,C,,555-555-5555, Bob 
 hannah ,40,55000,Female,HR,Analyst,"April 5, 2018",C,user@domain.com, , Hannah 
 alice ,25,70000,Male,Finance,Director,2019.12.01,C,name@company.org,123-456-7890, Alice 
 ivy ,50, NAN ,Other,Marketing,Manager,20-02-2020,F,name@company.org,555-555-5555, Ivy 
 ivy ,thirty,65000,Female,HR,Clerk,"April 5, 2018",D,,123-456-7890, Ivy 
 bob ,nan,70000,Male,HR,Assistant,01/15/2020,D,nan,555-555-5555, Bob 
 grace ,40,50000,Male,IT,Assistant,"April 5, 2018",A,nan,123-456-7890, Grace 
 jack ,thirty,65000,Other,Finance,Clerk,20-02-2020,F,nan,555-555-5555, Jack 
 charlie ,50,SIXTY THOUSAND,Other,HR,Analyst,"April 5, 2018",A,user@domain.com,nan, Charlie 
 grace ,40,50000,Other,IT,Director,2019.12.01,F,,098-765-4321, Grace 
 jack ,35,50000,Female,Sales,Assistant,2019.12.01,A,,nan, Jack 
 ivy ,25,SIXTY THOUSAND,Male,HR,Clerk,20-02-2020,B,nan,123-456-7890, Ivy 
 david ,50, NAN ,Other,HR,Clerk,03-25-2019,C,nan, , David 
 alice ,35,50000,Female,IT,Analyst,2019.12.01,C,email@example.com,nan, Alice 
 bob ,thirty,65000,Female,Finance,Analyst,01/15/2020,D,email@example.com,098-765-4321, Bob 
 alice ,nan,70000,Female,HR,Manager,20-02-2020,B,name@company.org,123-456-7890, Alice 
 eve ,40,50000,Other,Sales,Assistant,"April 5, 2018",C,name@company.org,nan, Eve 
 eve ,25,65000,Other,HR,Manager,"April 5, 2018",D,,555-555-5555, Eve 
 grace ,40,55000,Male,Sales,Clerk,01/15/2020,B,, , Grace 
 ivy ,thirty,65000,Male,Marketing,Director,2019.12.01,C,user@domain.com,123-456-7890, Ivy 
 ivy ,40,70000,Other,Marketing,Director,20-02-2020,A,user@domain.com,nan, Ivy 
 charlie ,25,65000,Female,Sales,Analyst,01/15/2020,F,email@example.com,123-456-7890, Charlie 
 charlie ,thirty,SIXTY THOUSAND,Female,Finance,Director,2019.12.01,B,name@company.org,555-555-5555, Charlie 
 charlie ,40,70000,Female,HR,Director,20-02-2020,D,email@example.com,098-765-4321, Charlie 
 david ,nan, NAN ,Male,HR,Director,"April 5, 2018",B,email@example.com,nan, David 
 hannah ,50,55000,Female,Marketing,Clerk,20-02-2020,D,name@company.org,123-456-7890, Hannah 
 frank ,thirty,SIXTY THOUSAND,Male,Sales,Director,03-25-2019,B,user@domain.com,123-456-7890, Frank 
 hannah ,50, NAN ,Male,HR,Director,20-02-2020,D,name@company.org,123-456-7890, Hannah 
 alice ,thirty,65000,Female,HR,Director,03-25-2019,C,nan,098-765-4321, Alice 
 hannah ,nan,70000,Female,Finance,Manager,20-02-2020,A,nan,123-456-7890, Hannah 
 david ,50,55000,Other,IT,Clerk,03-25-2019,C,nan, , David 
 alice ,35,SIXTY THOUSAND,Other,Marketing,Analyst,"April 5, 2018",A,, , Alice 
 hannah ,25, NAN ,Female,Marketing,Manager,2019.12.01,C,user@domain.com,123-456-7890, Hannah 
 david ,35, NAN ,Male,IT,Assistant,03-25-2019,C,user@domain.com, , David 
 frank ,40,55000,Male,HR,Clerk,03-25-2019,B,,nan, Frank 
 hannah ,nan,65000,Male,Finance,Clerk,"April 5, 2018",F,email@example.com, , Hannah 
 david ,35,55000,Male,Finance,Assistant,03-25-2019,D,nan,123-456-7890, David 
 charlie ,thirty, NAN ,Male,Marketing,Assistant,01/15/2020,D,nan,555-555-5555, Charlie 
 ivy ,40,50000,Other,Finance,Assistant,"April 5, 2018",D,email@example.com,nan, Ivy 
 charlie ,40,SIXTY THOUSAND,Female,IT,Analyst,01/15/2020,A,name@company.org,098-765-4321, Charlie 
 ivy ,35,55000,Other,HR,Director,"April 5, 2018",D,name@company.org,123-456-7890, Ivy 
 bob ,35, NAN ,Male,IT,Clerk,03-25-2019,D,user@domain.com,098-765-4321, Bob 
 bob ,nan,65000,Male,Sales,Director,01/15/2020,B,,555-555-5555, Bob 
 bob ,25, NAN ,Male,Marketing,Director,03-25-2019,C,user@domain.com,098-765-4321, Bob 
 frank ,35,65000,Male,Finance,Assistant,"April 5, 2018",D,name@company.org,123-456-7890, Frank 
 charlie ,35,55000,Female,Sales,Analyst,03-25-2019,F,email@example.com,123-456-7890, Charlie 
 ivy ,50,65000,Male,Finance,Manager,01/15/2020,D,user@domain.com,555-555-5555, Ivy 
 david ,thirty,70000,Female,HR,Analyst,01/15/2020,A,nan,123-456-7890, David 
 alice ,50,70000,Male,HR,Director,03-25-2019,A,nan,555-555-5555, Alice 
 david ,50,70000,Female,HR,Analyst,20-02-2020,A,email@example.com,555-555-5555, David 
 alice ,40,50000,Other,Finance,Assistant,"April 5, 2018",D,name@company.org,123-456-7890, Alice 
 eve ,25,55000,Male,Sales,Manager,"April 5, 2018",B,nan, , Eve 
 david ,thirty, NAN ,Female,HR,Assistant,03-25-2019,F,nan,555-555-5555, David 
 hannah ,nan, NAN ,Other,Sales,Manager,20-02-2020,D,,123-456-7890, Hannah 
 hannah ,nan,50000,Male,Finance,Director,01/15/2020,B,user@domain.com, , Hannah 
 grace ,35,65000,Male,Sales,Manager,2019.12.01,B,name@company.org,555-555-5555, Grace 
 charlie ,35,50000,Male,Finance,Manager,2019.12.01,D,user@domain.com, , Charlie 
 alice ,nan,65000,Female,Finance,Manager,03-25-2019,D,name@company.org,nan, Alice 
 alice ,35,65000,Female,Marketing,Analyst,20-02-2020,B,nan,nan, Alice 
 charlie ,25,SIXTY THOUSAND,Other,Finance,Analyst,20-02-2020,B,, , Charlie 
 frank ,50, NAN ,Female,Finance,Director,"April 5, 2018",B,user@domain.com,555-555-5555, Frank 
 grace ,35,70000,Female,IT,Manager,01/15/2020,D,nan,123-456-7890, Grace 
 frank ,40,65000,Male,HR,Clerk,20-02-2020,B,name@company.org,098-765-4321, Frank 
 frank ,35,SIXTY THOUSAND,Male,Marketing,Director,2019.12.01,A,user@domain.com,123-456-7890, Frank 
 frank ,thirty, NAN ,Male,Marketing,Manager,01/15/2020,D,user@domain.com,098-765-4321, Frank 
 charlie ,25,70000,Male,Marketing,Manager,01/15/2020,A,nan,098-765-4321, Charlie 
 frank ,thirty,65000,Male,IT,Analyst,03-25-2019,C,user@domain.com,555-555-5555, Frank 
 hannah ,thirty,65000,Male,Finance,Director,20-02-2020,D,, , Hannah 
 bob ,40,50000,Male,HR,Manager,03-25-2019,C,,123-456-7890, Bob 
 eve ,25,50000,Other,Sales,Manager,20-02-2020,B,nan, , Eve 
 alice ,25, NAN ,Other,Finance,Director,"April 5, 2018",B,name@company.org,nan, Alice 
 alice ,25,70000,Other,IT,Clerk,03-25-2019,F,nan,555-555-5555, Alice 
 eve ,25,65000,Other,Finance,Director,03-25-2019,B,,555-555-5555, Eve 
 charlie ,25, NAN ,Male,Finance,Director,2019.12.01,C,email@example.com,nan, Charlie 
